*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
*Language	English	Hungarian	Dutch	Spanish	Romanian	Polish	Czech	Bosnian	Portuguese-Brazil	Portuguese-Portugal	Estonia	French-Canadian	French (France)	Korean	Chinese Simplified	Chinese Traditional	Serbian	Russian	Turkish	Finnish	Bulgarian	Ukrainian	German	Catalan	Italian	Japanese	Lithaunian	Arabic	Kazah	Norwegian (bokmål)	Tagalog	Hindi	Thailand	Indonesia	Georgian	Latvian	Vietnam	Greek	Belorusian	Slovak	Swedish	Persian
*Language Translated	English	Magyar	Nederlands	Español	Română	Polski	Čeština	Bosanski	Português-Brasil	Português-Portugal	Estonian	Français-Canadien	Français (France)	한국어	简体中文	繁體中文	Srpski	Русский	Türkçe	suomen kieli	български	Українська	Deutsch	Català	Italiano	日本語	Lietuviu	عربي	Казахша	Norsk (bokmål)	Tagalog	हिन्दी	ไทย	Bahasa Indonesia	ქართული	Latviešu	Việt Nam	Ελληνικά	Беларускі	Slovenčina	Svenska	فارسی
*Translator	Yiming	Szabó Roland,Peti	KingHugoLi,Water	David Domingo,Victor08,Pado09	Alexandru D,Dedelele,Teo_100	adamski234,+WIEWIÓR,Marcel Flejmer	Miragta12CZE,tvsA	Vanished	Thallez_	It'sDanyProYT	JoosepMees,GFXgamer	Franscobec	Franscobec	T. Lee,황진성	馮昱熹,Yiming	馮昱熹,Yiming	Shotgun Mickey,Dark Emerald	Xphoenix,kitelQmaf,JumpCat	Vivo,Muhammed Emir	Leipuri Hiivatti,Ratatuile	Ivaylo,P3n4o	Asdera,NishtyakF	Derzocker39,Nabond g,pizzacom	elmees21	RossiBello,andyZ	Iwasaki,だんばこ	Matad13	ToxoThink	Аударушы	fshark	zoltron198	springtrap-official	Sugar Man	Tentio Games YT	Nikoloz Jangirashvili	Rihards Niklāvs Lējējs	Creeda	Sotiras	geretu5	Tadeáš Mrázik	anders_go	Master__Gold
*Version	1																																									
*Status	100	100	81	100	81	100	81	32	100	100	100	100	100	84	100	100	81	100	89	81	82	100	100	81	81	100	100	81	81	81	81	81	81	81	81	81	100	81	100	100	85	100
Start	Start	Játék	Begin	Empezar	Incepe	Start	Začít	Kreni	Iniciar	Iniciar	Alusta	Débuter	Débuter	시작	开始	開始	Start	Старт	Başla	Aloita	Старт	Старт	Start	Inicia	Inizia	始める	Startas	إبدأ	Бастау	Start	simulan	शरूु करना	เริ่ม	Mulai	დაწყება	Sākt	Bắt Đầu	Εκκίνηση	Пачаць	Začať	Starta	شروع
About	About	A játékról	Over	Sobre el juego	Despre	O grze	O hře	O	Sobre	Sobre	Mängu kohta	À propos	À propos	게임 정보	关于	關於	O igri	Об Игре	Hakkında	Lisää	Относно	Про нас	Über	Sobre	Su di noi	記録	Apie	حول	Туралы	Om	tunkolan	लगभग	เกี่ยวกับ	Tentang	ინფორმაცია	Par	Về	Σχετικά με	Аб	O hre	Om	درباره
Exit	Exit	Kilépés	Uit	Salir	Iesi	Wyjście	Odejít	Izađi	Sair	Sair	Lahku	Quitter	Sortir	나가기	退出	退出	Izađi	Выход	Çıkış	Poistu	Изход	Вийти	Verlassen	Tanca	Esci dal Gioco	退出	Išeiti	خروج	Шыгу	Avslutt	Labasan	बाहर नि कलना	ออก	Keluar	გასვლა	Iziet	Thoát	Έξοδος	Выхад	Odísť	Lämna	خروج
Tutorial	Tutorial	Bemutató	Rondleiding	Tutorial	Tutorial	Tutorial	Tutoriál	Tutorijal	Tutorial	Tutorial	Õpetus	Tutoriel	Tutoriel	튜토리얼	教程	教程	Tutorijal	Обучение	Öğretici	Tutoriaali	Обучение	Туторіал	Tutorial	Tutorial	Tutorial	チュートリアル	Apmokymas	درس تعليمي	Оку Куралы	Opplæring	pagtuturo	ट्यटू ोरि यल	ฝึกสอน	Tutorial	ტუტორიალი	Pamācība	Hướng Dẫn	Οδηγός Εκκίνησης	Падручнiк	Tutoriál	Handledning	آموزش
Load Game	Load Game	Játék betöltése	Laad Spel	Cargar partida	Incarca Joc	Wczytaj grę	Načíst hru	Učitaj Igru	Carregar Jogo	Carregar Jogo	Lae mäng	Charger une partie	Charger une partie	불러오기	读取存档	讀取存檔	Učitaj igru	Загрузить игру	Oyun Yükle	Lataa Peli	Зареди игра	Завантажити гру	Lade Spielstand	Carrega Partida	Carica Partita	ゲームを始める	Paleisti Žaidimą	لعبة تحميل	Ойынды жiктеу	Last inn spill	Mag-load ng laro	खेल लोड करें	เซฟ	Lanjutkan Permainan	თამაშის გაგრძელება	Ielādēt spēli	Load Trò Chơi	Φόρτωση Παιχνιδιού	Загрузіць гульню	Načítať hru	Ladda spel	باز کردن بازی
